value;label;revenue
0134-6104;CREDICORP CAPITAL CUPON ESCALONADO XIV FMIV 0.07;0.07
0152-6104;CREDICORP CAPITAL BARRERA CONDICIONAL VII FMIV ( PROGRAMA: BARRERA CONDICIONAL) 0.07;0.07
0107-6104;CREDICORP CAPITAL RENTA EN DOLARES 2Y FMIV 0.06;0.06
0058-67343;SF RENDIMIENTO CONDICIONAL SOLES II FMIV 0.03;0.03
0072-6107;IF XVII CUSTODIA DOLARES FMIV (PROGRAMA DE FONDOS MUTUOS CUSTODIA DOLARES) 0.02;0.02
0011-113223;FONDO DE FONDOS SURA CAPITAL ESTRATEGICO II FMIV - SERIE A 0;0.0
0023-113223;FONDO DE FONDOS SURA SELECCION GLOBAL I FMIV - SERIE A 0;0.0
0012-113223;FONDO DE FONDOS SURA CAPITAL ESTRATEGICO III FMIV - SERIE B 0;0.0
0012-113223;FONDO DE FONDOS SURA CAPITAL ESTRATEGICO III FMIV - SERIE A 0;0.0
0011-113223;FONDO DE FONDOS SURA CAPITAL ESTRATEGICO II FMIV - SERIE B 0;0.0
0023-113223;FONDO DE FONDOS SURA SELECCION GLOBAL I FMIV - SERIE B 0;0.0
0003-151229;FARO CAPITAL DEUDA GLOBAL FMIV - SERIE C 0;0.0
0010-113223;FONDO DE FONDOS SURA CAPITAL ESTRATEGICO I FMIV - SERIE A 0;0.0
0010-113223;FONDO DE FONDOS SURA CAPITAL ESTRATEGICO I FMIV - SERIE B 0;0.0
0004-151229;FARO  CAPITAL RENTA VARIABLE GLOBAL FMIV - SERIE B 0;0.0
0004-151229;FARO  CAPITAL RENTA VARIABLE GLOBAL FMIV - SERIE C 0;0.0
0003-151229;FARO CAPITAL DEUDA GLOBAL FMIV - SERIE A 0;0.0
0073-6107;IF V CAPITAL 180 FMIV.(PROGRAMA IF CAPITAL FMIV) 0.0;0.0
0003-151229;FARO CAPITAL DEUDA GLOBAL FMIV - SERIE B 0;0.0
0004-151229;FARO  CAPITAL RENTA VARIABLE GLOBAL FMIV - SERIE A 0;0.0
0143-6104;FONDO DE FONDOS CREDICORP CAPITAL INVESTMENT GRADE FMIV -0.01;-0.01
